Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2020,Toyota,RAV4,81558 km,SUV,4 Cylinder Engine,Automatic,AWD,Magnetic Grey Metallic,null,null,4,Gas,9.2L/100km,7.1L/100km,32446
2020,Toyota,RAV4,77000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Ruby Flare Pearl,Black,5,4,Gas,null,null,32450
2019,Toyota,RAV4,138000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,9.2L/100km,7.1L/100km,32450
2017,Toyota,Sienna,132700 km,Minivan,3.5L V6 DOHC 24V,Automatic,AWD,Silver Sky Metallic,null,null,4,Gas,13.4L/100km,9.6L/100km,30995
2021,Toyota,C-HR,23410 km,SUV,4 Cylinder Engine,CVT,FWD,Black Sand Pearl,Black,null,null,Gas,8.7L/100km,7.5L/100km,32688
2019,Toyota,RAV4,93000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Magnetic Grey Metallic,Black,5,4,Gas,9.2L/100km,7.1L/100km,32950
2019,Toyota,RAV4,65607 km,SUV,2.5,Automatic,AWD,Dark Grey,Dark Grey,5,4,Gas,9.2L/100km,7.1L/100km,32990
2019,Toyota,RAV4,71867 km,SUV,2.5,Automatic,AWD,Super White,Black,5,4,Gas,9.2L/100km,7.1L/100km,32990
2021,Toyota,RAV4,59000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Super White,Black,5,4,Gas,8.7L/100km,6.9L/100km,33450
2019,Toyota,RAV4,31323 km,SUV,I-4 cyl,Automatic,4WD,Super White,Black,null,null,Regular Unleaded,9.2L/100km,7.1L/100km,33500
2017,Toyota,Highlander,100883 km,SUV,V-6 cyl,8 Speed Automatic,AWD,Celestial Silver Metallic,null,null,null,Gas,12.1L/100km,9.0L/100km,33798
2021,Toyota,RAV4,77000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,null,null,5,4,Gas,8.7L/100km,6.9L/100km,33850
2014,Toyota,Tundra,170935 km,Regular Cab,8 Cylinder Engine,Automatic,4x4,Sunset Bronze Mica,Brown,5,4,Gas,16.3L/100km,11.9L/100km,33888
2018,Toyota,RAV4,96406 km,SUV,4 Cylinder Engine 2.5L,Automatic,FWD,Ruby Flare Pearl,null,null,4,Gas,10.0L/100km,7.8L/100km,25399
2016,Toyota,4Runner,144700 km,SUV,4.0,5 Speed Automatic,4x4,Barcelona Red Metallic,Beige,7,4,Gas,14.2L/100km,11.1L/100km,33888
2018,Toyota,Sienna,86287 km,Minivan,3.5,8 Speed Automatic,FWD,Silver Sky Metallic,Grey,null,4,Gas,12.5L/100km,8.9L/100km,33950
2019,Toyota,RAV4,51759 km,SUV,2.5,Automatic,AWD,Dark Grey,Black,5,4,Gas,9.2L/100km,7.1L/100km,33990
2021,Toyota,RAV4,68259 km,SUV,2.5,Automatic,AWD,Midnight Black Metallic,Black,5,4,Gas,8.7L/100km,6.9L/100km,33990
2021,Toyota,C-HR,40098 km,SUV,4 Cylinder Engine,CVT,FWD,WHITE,Black,5,4,Gas,8.7L/100km,7.5L/100km,33995
2018,Toyota,RAV4,29553 km,SUV,2.5L 4 Cylinder Engine,Automatic,AWD,Alpine White,Black,5,4,Gasoline Hybrid,6.9L/100km,7.8L/100km,33995
