Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
2019,BMW,X5,70123 km,SUV,3.0L DOHC I-6 24V TwinPower Turbo,Automatic,AWD,White,null,null,null,Gas,11.7L/100km,9.1L/100km,59888
2018,BMW,X3,37000 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Grey,Black,5,4,Gas,10.8L/100km,8.0L/100km,41995
2018,BMW,X3,90197 km,SUV,3.0L L6 DOHC 24V,Automatic,AWD,Black,Black,null,4,Gas,11.7L/100km,8.6L/100km,42699
2019,BMW,330I,29990 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,null,null,null,Gas,9.5L/100km,6.9L/100km,42885
2019,BMW,4,80786 km,Sedan,3.0,Automatic,AWD,Alpine White Non-Metallic,Black,5,4,Gas,11.4L/100km,7.8L/100km,42888
2017,BMW,X5,88000 km,SUV,4 Cylinder Engine,Automatic,AWD,Silver,Black,5,4,Gasoline Hybrid,null,null,42895
2017,BMW,X5,108000 km,SUV,8 Cylinder Engine,Automatic,AWD,Black,Black,5,4,Gas,15.6L/100km,11.3L/100km,42895
2019,BMW,X3,45529 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,null,5,4,Gas,10.8L/100km,8.0L/100km,42980
2018,BMW,340i,49750 km,Sedan,Straight 6 Cylinder Engine,null,AWD,Black Sapphire Metallic,White,null,null,Gas,11.1L/100km,7.5L/100km,42990
2021,BMW,X3,78779 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5,4,Gas,10.2L/100km,8.2L/100km,42999
2018,BMW,M4,35507 km,Coupe,Straight 6 Cylinder Engine,7 Speed Automatic,RWD,Mineral Grey Metallic,Orange,4,2,Gas,13.5L/100km,9.3L/100km,64500
2018,BMW,4-Series,20782 km,Sedan,3.0L V6 DOHC 24V,Automatic,AWD,null,null,null,4,Gas,11.1L/100km,7.5L/100km,42999
2018,BMW,X5,70237 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,Black,7,4,Gas,13.0L/100km,9.8L/100km,43190
2018,BMW,X5,79477 km,SUV,3.0,Automatic,AWD,White,Beige,5,4,Gas,13.0L/100km,9.8L/100km,43444
2018,BMW,X4,61760 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Black,Black,5,4,Gas,12.7L/100km,9.1L/100km,43800
2021,BMW,3,41000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5,4,Gasoline Hybrid,null,null,43880
2021,BMW,3,53696 km,Sedan,2.0,8 Speed Automatic,AWD,Mineral Grey Metallic,null,5,4,Gas,null,null,43888
